"mukey","cokey","comppct_r","compname"
461547,14397647,2,"Willows"
461547,14397648,5,"Capay"
461546,14397639,90,"Willows"
461546,14397640,1,"Scribner"
461546,14397641,2,"Unnamed"
461546,14397642,5,"Capay"
461546,14397643,2,"Willows"
461545,14397634,90,"Capay"
461545,14397635,2,"Unnamed"
461545,14397636,4,"Capay"
461545,14397637,2,"Willows"
461545,14397638,2,"Capay"
461543,14397628,90,"Capay"
461543,14397629,2,"Unnamed"
461543,14397630,2,"Willows"
461543,14397631,1,"Arbuckle"
461543,14397632,4,"Capay"
461543,14397633,1,"Westfan"
843738,14998042,95,"Urban land"
843738,14998043,5,"Unnamed"
843739,14998044,70,"Xerorthents"
843739,14998045,20,"Los Osos"
843739,14998046,5,"Altamount"
843739,14998047,3,"Climara"
843739,14998048,2,"Millsholm"
843740,14998049,60,"Xerorthents"
843740,14998050,20,"Millsholm"
843740,14998051,10,"Maymen"
843740,14998052,5,"Los Gatos"
843740,14998053,5,"Los Osos"
455756,14997528,85,"Alo"
455756,14997529,10,"Diablo"
455756,14997530,3,"Cropley"
455756,14997531,2,"Clear Lake"
455757,14997532,85,"Alo"
455757,14997533,3,"Altamont"
455757,14997534,3,"Fontana"
455757,14997535,2,"Lodo"
455757,14997536,4,"Los Osos"
455757,14997537,3,"Sehorn"
455758,14997538,85,"Alo"
455758,14997539,5,"Lodo"
455758,14997540,5,"Millsholm"
455758,14997541,5,"Unnamed"
455759,14997542,85,"Altamont"
455759,14997543,6,"Capay"
455759,14997544,4,"Rincon"
455759,14997545,4,"Fontana"
455759,14997546,1,"Linne"
455760,14997547,85,"Altamont"
455760,14997548,3,"Capay"
455760,14997549,3,"Rincon"
455760,14997550,1,"Fontana"
455760,14997551,3,"Linne"
455760,14997552,1,"Clear Lake"
455760,14997553,1,"Pescadero"
455760,14997554,3,"Diablo"
455761,14997555,50,"Altamont"
455761,14997556,35,"Fontana"
455761,14997557,3,"Millsholm"
455761,14997558,3,"Lodo"
455761,14997559,3,"Capay"
455761,14997560,3,"Rincon"
455761,14997561,3,"Pescadero"
455762,14997562,15,"Millsholm"
455762,14997563,1,"Pescadero"
455762,14997564,40,"Altamont"
455762,14997565,40,"Fontana"
455762,14997566,2,"Gaviota"
455762,14997567,2,"Briones"
455763,14997568,85,"Antioch"
455763,14997569,5,"Rincon"
455763,14997570,3,"Pleasanton"
455763,14997571,3,"Sorrento"
455763,14997572,2,"Tierra"
455763,14997573,2,"Pescadero"
455764,14997574,85,"Antioch"
455764,14997575,8,"Tierra"
455764,14997576,5,"Rincon"
455765,14997577,85,"Botella"
455765,14997578,3,"Clear Lake"
455765,14997579,3,"Conejo"
455765,14997580,3,"Garretson"
455765,14997581,5,"Pachic Argixerolls"
455765,14997582,1,"Elder"
455766,14997583,90,"Botella"
455766,14997584,3,"Conejo"
455766,14997585,2,"Tierra"
455766,14997586,5,"Elder"
455767,14997587,85,"Brentwood"
455767,14997588,10,"Sorrento"
455767,14997589,5,"Rincon"
455768,14997590,85,"Brentwood"
